Age,Department,Study_Hours_Per_Week,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade
21,Mathematics,7.2,82.95,75.39,88.02,91.76,81.52,93.7,79.08,88.35,A
23,Business,2.7,74.53,67.86,71.79,67.12,67.82,37.1,73.39,67.75,D
18,CS,4.2,78.88,87.7,25.52,90.18,62.73,72.3,82.65,65.73,D
23,Mathematics,7.3,77.83,71.15,75.62,88.13,89.48,76.6,88.19,83.69,A
18,CS,3.9,82.27,73.85,63.4,61.31,61.14,55.7,78.44,67.52,D
18,CS,8.7,60.9,35.77,53.18,77.87,86.27,58.7,89.88,66.94,D
20,Business,5.7,63.13,75.04,57.14,71.01,56.84,73.7,99.73,71.52,C
23,CS,7.7,70.59,58.62,100.0,88.82,65.72,25.1,64.08,77.67,A
18,CS,4.9,87.86,62.03,81.66,67.2,69.05,82.1,92.59,77.26,A
23,Business,4.7,68.35,66.84,67.26,73.39,73.27,52.0,93.89,72.48,C
24,Engineering,5.1,71.6,53.03,87.05,62.55,76.18,51.0,78.71,73.05,B
24,Engineering,5.7,45.26,86.96,71.59,65.19,64.77,83.2,92.94,78.83,A
19,Mathematics,8.0,87.92,62.72,42.49,80.88,68.07,69.7,79.91,66.59,D
20,Engineering,2.6,87.72,50.56,60.48,68.61,69.83,96.6,48.33,64.82,D
22,Business,1.8,79.81,60.79,51.73,53.12,71.06,43.4,59.68,57.51,F
18,Engineering,5.6,73.64,84.97,78.87,77.47,65.25,65.7,84.28,79.86,A
23,Mathematics,0.7,65.53,88.48,74.09,96.86,29.06,61.7,45.54,69.88,C
19,Business,3.0,100.0,73.02,57.71,84.03,74.51,65.3,75.67,71.29,C
24,Business,5.0,75.48,66.88,51.36,67.38,65.04,68.7,68.77,64.89,D
21,Engineering,7.3,84.93,59.24,73.3,88.88,60.64,83.6,71.71,75.45,B
19,Engineering,3.2,74.08,45.92,63.68,55.59,74.79,99.8,83.17,67.74,D
21,Engineering,4.9,67.19,45.72,68.29,92.58,53.64,96.3,44.28,68.07,D
22,Business,4.2,83.32,65.97,63.11,75.24,59.68,100.0,70.32,71.5,C
18,Mathematics,6.9,81.89,56.31,71.85,66.2,80.69,73.2,80.16,73.64,B
21,Business,5.0,83.33,75.07,84.27,61.72,74.52,79.4,82.9,79.46,A
21,Engineering,6.5,78.56,42.47,37.43,82.39,96.74,100.0,64.24,66.27,D
21,Engineering,6.0,74.77,62.18,78.49,67.77,82.8,73.9,78.18,76.78,B
21,CS,2.5,76.11,49.96,69.58,79.7,69.04,64.0,73.7,68.2,D
18,Mathematics,2.6,91.64,71.98,84.57,68.64,82.73,92.9,67.73,79.84,A
21,Mathematics,4.5,73.2,51.34,42.92,76.04,55.24,79.1,57.01,58.7,F
23,Mathematics,3.8,69.13,73.74,61.35,72.9,66.92,52.9,84.74,69.79,C
20,CS,4.6,40.0,74.14,44.37,79.93,72.95,83.7,73.05,69.05,C
24,Business,5.3,75.34,49.77,52.6,73.31,66.78,79.6,78.19,65.18,D
19,Engineering,5.8,62.54,69.11,37.52,80.66,66.09,52.0,91.43,64.33,D
23,Mathematics,6.4,100.0,64.72,48.75,62.92,65.78,73.9,99.05,67.37,D
20,Engineering,0.5,63.72,66.61,63.88,83.49,69.51,69.3,51.35,67.75,D
19,CS,6.3,75.57,61.49,69.82,72.17,51.54,49.5,68.99,66.8,D
19,Engineering,4.8,92.58,48.82,51.74,80.34,83.35,56.8,92.94,67.21,D
19,Business,6.7,69.02,83.48,66.73,55.65,73.18,44.3,71.02,70.92,C
19,Business,5.5,80.75,43.97,47.3,84.23,68.56,50.6,77.6,61.47,F
21,Business,5.4,73.19,53.37,72.0,61.45,81.38,100.0,47.58,71.16,C
19,Business,4.6,88.11,55.05,84.55,65.63,85.74,40.3,78.58,73.27,B
18,CS,3.9,100.0,75.96,44.23,76.58,85.95,97.0,88.94,73.38,B
24,Business,2.4,72.05,76.32,45.48,58.31,81.41,48.8,68.29,62.78,F
22,CS,1.6,96.99,76.06,46.58,79.63,42.43,75.9,98.31,65.72,D
20,Business,3.7,90.79,65.54,30.34,53.62,56.94,70.3,74.69,55.14,F
21,Engineering,6.8,65.54,55.23,77.59,75.45,69.66,66.9,83.56,74.54,B
21,CS,2.9,96.16,55.12,66.35,54.14,53.1,91.5,87.29,66.34,D
22,Business,6.2,75.9,76.56,51.6,100.0,79.9,80.2,75.92,76.49,B
22,Engineering,6.0,83.43,32.83,39.25,77.29,88.11,60.0,77.41,59.89,F
20,Business,6.2,59.84,67.43,38.66,69.32,63.55,58.4,67.28,60.68,F
20,Business,7.3,67.92,100.0,71.35,74.25,85.34,64.8,78.22,83.3,A
18,Business,4.0,96.51,55.59,56.26,72.12,66.01,61.1,33.48,60.17,F
21,Mathematics,3.9,68.01,79.73,98.51,59.3,75.42,73.5,55.28,80.54,A
19,CS,3.4,78.95,72.57,39.25,63.33,52.98,30.2,86.8,57.14,F
21,Engineering,3.1,89.56,69.29,91.33,62.48,71.21,84.2,63.45,77.63,A
22,Business,3.0,97.86,58.93,74.41,84.7,77.14,54.7,90.34,74.39,B
18,CS,5.8,82.3,53.58,45.59,72.59,47.58,58.9,41.23,55.33,F
22,CS,5.3,76.85,50.74,85.83,86.64,80.43,79.2,91.67,80.69,A
22,Engineering,7.1,73.33,83.73,43.51,76.46,65.42,45.2,75.36,66.69,D
23,Engineering,5.1,77.62,76.31,42.26,51.77,60.77,77.1,81.91,63.27,F
21,CS,5.7,77.28,82.51,58.65,65.98,77.02,63.3,51.75,69.9,C
22,CS,3.4,78.07,78.48,80.52,83.29,100.0,75.7,82.87,84.9,A
18,Engineering,3.7,86.58,99.71,66.46,90.87,60.46,62.4,80.66,78.74,A
24,CS,7.7,89.4,46.74,82.12,82.62,60.65,100.0,77.31,77.06,B
18,Business,1.1,77.06,54.96,35.52,73.28,65.58,49.8,79.88,56.0,F
20,Business,5.7,77.86,83.81,40.3,58.12,67.92,49.0,54.29,60.94,F
20,CS,4.7,79.46,96.16,59.35,100.0,81.66,89.8,84.34,84.05,A
22,Mathematics,4.2,91.47,100.0,60.02,64.53,60.77,80.0,45.18,71.42,C
19,Engineering,1.3,74.63,53.52,73.95,67.78,85.76,49.7,73.01,68.84,C
24,CS,4.0,78.04,54.34,72.8,77.57,86.19,57.2,63.83,71.38,C
18,CS,5.1,81.5,51.23,77.86,66.66,78.67,56.6,78.47,71.46,C
22,Engineering,2.6,86.34,50.3,51.57,82.36,57.91,83.5,77.29,63.95,D
22,Business,4.8,89.31,77.53,84.37,74.02,60.94,74.2,63.66,77.25,A
21,Mathematics,3.9,93.55,48.57,90.37,81.29,73.75,56.1,91.93,76.83,B
21,CS,4.6,79.86,83.94,35.16,72.79,85.13,77.5,65.95,67.67,D
19,CS,2.3,71.84,49.08,43.49,90.31,48.74,77.4,59.27,58.54,F
21,CS,10.1,70.56,66.09,59.28,63.86,92.16,92.7,78.06,76.53,B
24,CS,0.8,83.1,67.73,50.32,73.48,74.24,76.7,77.93,66.66,D
18,Business,4.7,78.01,65.72,54.31,72.53,65.68,50.3,88.54,66.4,D
23,Engineering,5.1,79.83,74.24,55.4,88.58,100.0,68.5,70.24,76.18,B
19,Business,7.1,100.0,62.56,77.81,74.81,60.81,88.8,73.02,75.93,B
18,Engineering,3.5,67.2,63.67,67.66,56.5,72.7,89.1,49.08,67.98,D
24,Business,5.1,82.4,83.89,63.94,68.62,63.1,68.0,66.7,71.74,C
20,CS,4.9,69.66,60.36,65.65,77.77,59.8,75.3,81.13,70.5,C
22,Mathematics,4.1,75.75,33.48,59.8,66.13,67.33,71.7,64.77,60.35,F
18,Mathematics,6.9,86.23,29.42,100.0,68.51,75.17,59.4,74.99,74.32,B
18,Business,3.0,85.33,55.92,65.72,72.9,84.73,96.3,60.55,71.73,C
18,Engineering,3.8,95.06,76.47,49.81,82.43,71.06,54.1,74.93,68.06,D
19,Mathematics,5.0,60.56,82.33,68.33,74.55,88.95,87.8,63.58,79.13,A
21,CS,2.5,87.81,62.56,53.32,59.69,65.31,55.4,74.2,61.47,F
21,Engineering,7.0,88.5,94.83,84.79,95.29,73.17,50.1,57.77,83.96,A
24,CS,2.5,98.96,64.0,66.24,84.94,96.96,68.1,99.5,77.97,A
20,Business,4.3,71.1,71.22,40.19,82.35,80.36,79.5,98.11,70.62,C
22,Engineering,4.4,76.24,78.55,81.03,72.46,48.49,81.9,76.37,76.19,B
18,Engineering,5.9,95.81,41.88,81.32,96.24,61.86,87.3,75.26,75.69,B
20,Engineering,6.5,71.35,72.26,44.71,62.12,54.3,56.9,100.0,64.27,D
23,Business,6.3,70.91,56.31,64.32,67.53,85.67,66.4,74.43,70.77,C
21,Engineering,3.2,68.55,63.38,70.57,83.26,54.31,80.8,51.9,69.35,C
22,Business,6.0,86.76,63.7,72.27,95.95,80.14,100.0,66.32,80.47,A
22,Business,4.5,97.47,72.16,70.56,68.27,75.1,59.1,97.39,75.0,B
22,CS,3.9,90.84,62.54,50.48,89.5,49.24,80.3,94.18,67.86,D
21,Business,6.9,77.64,61.58,38.97,76.27,49.3,68.9,53.61,58.54,F
21,Mathematics,4.8,76.95,68.87,65.03,79.98,83.52,53.5,82.85,73.84,B
19,CS,5.7,74.13,77.81,76.45,72.4,71.63,67.3,93.17,79.0,A
23,CS,3.8,63.04,96.07,85.3,65.76,68.54,48.7,92.32,80.95,A
22,Engineering,2.1,58.31,60.78,92.58,93.23,54.11,78.3,69.93,77.9,A
23,Mathematics,5.1,68.5,76.45,56.31,66.15,100.0,59.3,58.45,71.43,C
18,Engineering,7.6,58.79,40.04,75.3,83.69,70.73,62.8,76.34,71.47,C
24,Mathematics,4.8,78.4,64.0,89.05,53.19,80.21,72.6,85.26,77.71,A
23,Business,4.0,69.5,89.34,55.23,87.13,74.54,50.2,73.7,73.08,B
18,Mathematics,6.7,82.32,59.17,51.87,61.83,61.12,52.1,48.91,59.29,F
21,Engineering,3.0,86.91,75.02,69.6,65.16,59.03,72.7,91.56,72.44,C
19,Engineering,5.3,69.96,66.46,52.42,69.83,71.21,100.0,89.41,71.76,C
19,Business,1.7,85.02,100.0,63.79,86.44,69.0,62.5,58.16,75.37,B
18,Business,4.3,69.11,51.35,40.01,81.32,72.81,86.7,78.67,64.08,D
20,CS,5.6,74.57,63.58,47.97,92.97,94.45,48.7,75.56,70.45,C
21,Mathematics,3.6,70.69,76.23,52.82,68.68,85.45,75.8,74.52,71.04,C
19,CS,2.9,55.32,65.17,70.46,77.19,65.49,63.9,100.0,73.41,B
19,Engineering,5.2,63.02,87.48,66.45,59.17,81.93,87.5,66.02,76.55,B
24,Mathematics,2.4,40.0,69.74,73.1,77.89,89.05,81.2,64.25,76.66,B
23,Engineering,3.7,57.84,56.77,70.53,74.53,95.64,85.8,68.51,75.32,B
20,Business,4.1,80.05,51.95,58.89,82.22,72.4,89.6,85.54,70.81,C
18,Business,4.8,72.92,85.85,92.85,73.2,60.3,67.2,69.65,81.14,A
20,Business,5.8,99.52,67.5,84.24,56.67,52.57,67.2,61.31,70.91,C
21,CS,1.9,67.36,56.82,58.76,77.06,74.91,68.6,83.76,67.97,D
23,Business,3.3,71.38,48.71,29.34,70.55,60.02,98.5,56.17,55.25,F
24,CS,2.4,63.51,77.98,44.22,74.71,55.95,60.9,65.87,62.34,F
18,Engineering,2.2,69.54,60.86,78.3,62.31,46.21,20.1,82.65,63.32,F
20,CS,4.6,89.05,74.87,56.22,81.15,82.47,69.4,63.18,71.94,C
19,Business,4.4,83.88,52.81,46.46,84.11,85.52,74.6,87.93,68.4,D
20,Business,4.9,58.14,54.22,64.34,89.51,60.07,94.5,80.38,72.52,C
24,Engineering,0.3,92.2,70.67,80.17,93.05,84.32,61.9,51.49,76.28,B
24,Business,5.9,72.91,73.04,57.19,82.92,65.94,56.2,65.95,69.26,C
23,Mathematics,7.6,85.83,86.14,44.42,80.65,74.04,67.8,74.52,71.79,C
21,Business,5.3,85.11,53.61,34.64,65.56,63.72,62.0,57.63,55.12,F
23,Business,2.6,72.29,76.74,55.51,68.91,69.21,82.4,72.87,69.55,C
18,Engineering,5.3,96.46,70.48,58.79,76.25,82.84,95.1,78.93,75.65,B
23,Engineering,5.1,88.84,81.22,93.49,86.41,61.65,35.4,66.02,79.19,A
22,Engineering,6.5,90.04,72.78,54.58,80.67,75.42,59.9,52.22,68.81,C
19,CS,7.0,70.12,50.77,52.97,95.13,79.55,62.0,70.6,69.01,C
18,Business,6.3,69.16,73.64,75.29,79.85,54.58,36.9,75.14,71.83,C
23,Business,6.2,88.66,29.48,55.21,73.62,74.03,91.4,56.48,62.49,F
18,CS,2.5,96.83,54.98,27.14,58.85,84.32,93.3,78.47,59.04,F
23,Engineering,3.6,71.82,60.09,66.45,54.77,64.15,78.0,79.49,67.34,D
21,CS,5.7,75.0,63.67,91.49,76.48,61.42,66.5,53.89,75.76,B
24,Business,2.1,85.87,70.98,53.23,100.0,58.83,65.7,79.76,69.59,C
24,Business,5.5,85.74,53.01,53.47,77.32,48.98,68.0,72.67,62.41,F
21,CS,6.6,85.01,69.76,39.58,79.49,59.66,79.1,78.65,65.77,D
19,Business,5.9,89.96,45.0,60.18,77.03,51.47,55.8,82.95,63.15,F
20,Engineering,4.0,87.95,34.63,85.92,73.95,45.51,75.1,79.66,68.1,D
20,Mathematics,4.3,88.58,41.05,57.29,88.33,79.1,85.1,68.54,68.03,D
19,Engineering,8.0,92.85,63.08,80.94,85.96,64.47,74.2,69.99,77.88,A
18,CS,6.6,82.1,72.23,46.86,70.31,83.52,82.9,59.49,69.12,C
20,Business,1.8,86.52,95.39,46.27,52.22,75.94,50.3,71.33,65.25,D
23,Business,6.6,94.7,80.13,83.7,66.78,75.99,56.5,100.0,81.5,A
24,CS,3.7,100.0,78.34,78.07,79.95,62.22,78.6,67.18,76.84,B
24,CS,4.6,56.13,50.96,54.21,83.4,71.16,96.2,80.58,69.62,C
24,Business,4.2,74.98,85.05,47.97,62.75,99.2,79.1,64.87,72.19,C
19,Engineering,4.6,86.06,81.27,71.89,67.79,99.11,75.3,57.12,78.4,A
23,CS,1.9,61.39,74.73,68.23,77.78,89.47,70.5,57.29,74.23,B
18,Engineering,5.7,77.09,56.57,77.95,53.1,60.36,46.2,81.09,67.3,D
18,Engineering,7.2,83.64,87.79,33.42,66.53,80.46,60.1,88.8,68.12,D
24,CS,1.3,93.84,68.72,91.27,60.63,61.64,41.6,86.57,72.93,B
23,Engineering,3.5,94.63,60.74,44.6,65.03,77.31,56.5,79.6,62.24,F
24,Engineering,4.3,86.9,76.25,58.71,64.2,74.59,85.5,89.27,73.31,B
24,Business,5.0,72.81,65.45,64.26,83.85,40.53,80.2,63.58,67.9,D
19,CS,5.4,80.13,81.31,78.89,74.16,88.62,70.0,80.89,82.14,A
22,Mathematics,5.0,79.65,61.57,47.05,67.04,73.13,71.5,88.89,65.99,D
23,Engineering,4.9,73.13,73.73,57.91,95.3,59.98,44.4,68.47,69.15,C
20,Mathematics,5.9,59.72,53.88,64.55,91.56,63.13,61.8,61.48,68.62,C
24,Business,5.9,96.03,78.8,72.04,89.51,72.74,53.8,64.81,76.52,B
20,Business,2.9,94.99,40.85,75.33,82.66,56.44,93.5,58.44,68.28,D
20,CS,7.4,95.31,68.51,49.33,63.21,80.61,100.0,88.69,72.64,C
22,Business,2.4,85.75,51.44,85.07,60.53,70.31,78.2,94.05,73.86,B
20,Engineering,6.0,98.7,81.99,56.64,58.35,64.8,72.5,68.13,68.93,C
20,Business,2.8,100.0,74.27,100.0,87.34,78.79,56.0,97.97,86.57,A
23,Business,5.5,88.34,58.55,53.57,63.02,43.11,100.0,52.6,61.71,F
23,Business,3.9,93.86,23.44,51.15,86.59,79.83,94.7,77.5,64.17,D
18,Business,4.5,84.28,74.55,75.92,63.3,74.58,90.6,61.24,75.8,B
19,CS,4.3,75.51,52.12,73.45,86.64,89.51,44.3,62.7,71.73,C
20,Business,6.5,68.92,61.3,63.22,70.94,73.58,70.0,39.14,67.07,D
22,Engineering,2.7,88.45,58.28,64.11,83.3,84.51,58.2,89.43,72.17,C
21,Engineering,2.2,69.25,71.37,61.84,68.33,66.77,61.5,59.85,66.33,D
24,Engineering,5.0,63.57,59.98,69.41,45.23,81.23,100.0,78.36,72.12,C
18,Business,4.7,66.49,71.97,52.28,92.16,63.82,75.7,91.7,72.56,C
19,Engineering,2.7,95.37,70.15,64.58,90.0,82.79,79.2,82.79,76.87,B
18,CS,8.3,90.48,47.45,73.91,72.28,79.26,36.2,80.35,70.2,C
19,Mathematics,6.6,67.08,54.15,68.46,71.46,48.0,92.5,47.39,66.58,D
24,Business,3.3,60.05,68.63,72.45,85.84,67.43,44.2,58.2,70.34,C
22,Engineering,2.2,89.7,55.34,58.42,90.09,85.91,77.6,100.0,73.85,B
20,CS,2.7,89.9,53.68,89.22,68.64,69.89,92.6,75.88,76.48,B
23,Mathematics,4.6,95.31,78.66,88.14,88.7,70.51,52.7,75.25,81.15,A
23,Business,2.2,99.83,67.24,66.89,69.03,86.24,100.0,89.85,76.89,B
23,Business,4.5,83.38,61.92,63.07,89.74,62.85,56.6,100.0,72.1,C
20,Business,2.6,82.75,84.26,91.09,92.45,69.51,45.9,76.13,81.98,A
20,Business,3.0,62.2,62.03,46.46,77.63,48.31,74.8,72.95,61.51,F
24,Mathematics,4.0,68.47,57.19,82.26,82.11,60.72,69.7,69.16,73.43,B
24,Business,3.2,60.39,54.56,59.57,92.14,60.92,79.7,100.0,71.31,C
23,Mathematics,4.7,91.07,49.86,42.24,84.54,60.79,68.8,100.0,63.67,D
19,CS,5.9,42.07,62.92,49.17,61.86,56.79,91.6,100.0,67.24,D
22,Mathematics,3.5,72.7,66.16,65.12,55.06,84.92,85.3,62.49,70.29,C
20,CS,5.0,71.34,79.68,58.92,68.68,73.4,70.0,71.11,71.54,C
22,CS,3.0,76.38,96.2,52.36,63.89,72.5,58.1,68.39,69.56,C
23,Engineering,7.1,54.44,42.47,73.24,71.01,49.55,72.2,80.78,67.4,D
19,Business,5.9,83.49,56.92,74.73,57.42,78.42,100.0,66.62,73.79,B
21,Business,4.9,91.81,61.05,42.64,71.93,54.33,56.9,80.72,60.15,F
24,CS,5.5,75.64,59.9,81.32,78.38,74.63,59.3,85.85,76.59,B
22,Business,1.1,73.65,51.04,58.46,77.77,62.37,68.2,47.07,60.84,F
20,CS,4.9,77.43,79.25,84.72,76.23,72.33,71.7,73.33,80.5,A
21,CS,2.7,74.18,77.28,68.31,73.43,72.22,80.2,67.57,73.92,B
22,CS,5.0,65.41,73.16,72.84,79.37,72.76,75.3,74.73,76.81,B
19,Business,2.4,65.7,47.53,60.55,83.58,43.59,57.0,72.92,60.94,F
18,Engineering,3.7,70.14,31.72,46.63,72.44,71.41,75.8,100.0,61.34,F
20,Engineering,5.1,100.0,45.6,43.46,80.07,61.81,76.2,88.11,62.42,F
24,Mathematics,5.2,87.24,54.23,43.6,73.32,81.5,44.5,69.31,61.13,F
22,Business,4.8,70.88,84.05,66.81,50.63,61.35,49.2,68.4,67.81,D
20,Business,5.0,78.04,56.89,29.06,68.71,65.38,53.1,66.32,54.65,F
18,Engineering,1.8,87.76,51.47,68.51,69.63,54.62,85.2,82.9,67.19,D
23,Business,7.6,65.06,72.78,67.16,69.82,59.59,36.9,68.57,68.46,D
22,Business,5.3,98.84,39.7,74.1,71.16,54.53,90.3,70.93,67.8,D
23,CS,6.6,53.55,60.18,61.0,65.39,53.65,69.0,53.08,63.7,D
20,CS,5.1,80.53,66.81,52.04,52.34,66.47,63.0,92.52,64.9,D
20,Business,1.9,81.59,70.94,54.98,81.57,50.98,74.4,53.17,64.27,D
19,Business,4.1,76.71,72.17,46.79,80.53,84.39,39.0,73.15,66.47,D
23,Engineering,3.8,82.64,79.27,95.16,66.01,100.0,87.6,77.99,87.76,A
23,Engineering,5.3,81.11,56.03,67.55,71.46,38.73,40.9,77.91,62.53,F
20,CS,5.3,98.28,64.85,79.58,57.09,85.1,41.3,77.44,72.7,C
19,Engineering,4.7,92.08,67.28,55.07,78.42,86.24,77.9,52.4,70.06,C
19,Business,7.5,84.13,43.44,83.09,71.37,77.39,64.0,72.55,73.33,B
24,CS,4.0,84.24,77.33,49.75,100.0,63.26,82.5,72.51,72.38,C
24,Business,4.1,96.15,47.02,45.59,51.91,61.46,93.6,65.73,58.07,F
19,Mathematics,6.2,79.68,35.5,59.74,51.82,73.53,56.8,72.55,59.86,F
19,Business,5.6,100.0,68.97,75.91,59.6,49.24,76.4,44.6,67.79,D
21,Business,6.3,77.1,58.33,100.0,81.69,67.24,43.4,47.74,76.27,B
23,Business,5.2,65.98,81.06,31.59,76.18,79.26,93.6,59.39,66.9,D
18,Business,0.9,89.44,75.18,63.29,83.98,83.43,71.3,97.81,76.5,B
23,CS,4.1,95.6,65.24,46.37,67.9,67.63,68.8,82.66,64.48,D
23,Mathematics,3.9,83.82,67.15,58.18,79.21,91.89,69.2,38.96,69.32,C
24,Engineering,2.2,61.49,56.66,53.2,81.85,70.85,95.7,73.52,68.22,D
21,Mathematics,8.1,74.63,79.57,78.94,58.04,80.19,65.9,75.76,78.55,A
19,Engineering,4.9,68.95,54.8,50.74,100.0,89.42,75.1,72.9,71.84,C
23,CS,5.8,93.42,54.62,49.36,67.85,68.86,52.4,68.39,61.22,F
21,Business,3.6,67.41,66.78,69.84,68.35,45.83,57.0,57.57,64.69,D
18,CS,2.6,76.57,84.02,51.68,60.33,43.19,94.9,80.46,66.67,D
24,CS,5.5,64.43,54.31,89.45,74.69,72.92,46.2,77.26,74.93,B
20,Engineering,7.7,82.81,81.41,66.35,72.73,94.47,69.0,100.0,82.02,A
24,Business,9.0,88.24,45.17,74.02,81.52,78.73,77.8,50.29,72.59,C
22,Engineering,5.1,58.46,55.69,88.21,63.51,53.75,76.3,69.57,72.33,C
20,Engineering,3.2,66.01,75.62,61.48,96.0,77.65,78.5,67.96,75.86,B
20,Business,9.0,100.0,76.18,62.48,43.27,64.69,57.0,72.81,67.66,D
23,CS,3.7,63.86,57.31,71.84,66.41,67.86,79.7,60.78,69.05,C
23,CS,2.8,74.36,64.66,47.42,48.65,75.1,65.9,79.57,61.67,F
21,Engineering,4.9,71.34,72.92,60.47,76.53,62.04,92.9,70.15,72.27,C
18,Engineering,4.3,75.1,77.93,81.54,76.81,66.68,72.1,70.18,77.95,A
18,Business,1.9,90.66,56.98,78.22,67.9,62.02,59.8,76.57,68.94,C
19,Engineering,5.1,72.67,81.53,68.21,76.31,54.65,68.6,82.78,74.1,B
19,Engineering,6.4,77.65,46.44,87.99,60.45,81.96,88.8,73.29,76.46,B
21,CS,2.4,74.79,64.72,51.03,88.86,72.18,73.5,66.46,67.6,D
18,Mathematics,4.8,74.67,68.77,38.29,77.9,67.05,63.1,64.85,62.18,F
20,Engineering,6.5,74.9,56.35,84.22,84.93,74.29,89.0,87.33,81.3,A
24,Engineering,0.8,64.29,53.97,76.61,67.38,74.69,46.9,79.48,68.13,D
22,CS,2.4,71.08,70.58,59.84,74.78,39.84,95.2,72.45,67.23,D
20,Engineering,2.5,70.08,64.33,65.37,58.5,44.84,52.3,58.73,60.33,F
21,Business,2.0,94.03,71.57,80.51,100.0,86.59,71.3,85.34,83.12,A
21,Business,5.6,60.71,56.74,75.33,92.46,83.26,96.2,80.53,80.78,A
24,Business,1.8,83.87,60.03,41.89,87.39,70.14,55.7,91.16,63.79,D
21,CS,4.2,71.79,44.6,35.43,70.5,74.21,100.0,76.45,61.0,F
22,Engineering,3.0,91.94,60.9,64.98,81.42,74.16,42.9,76.97,68.5,C
23,Mathematics,6.2,74.15,36.03,68.54,70.17,68.41,100.0,92.6,70.91,C
24,Business,7.6,91.58,22.31,52.24,93.77,33.38,58.2,83.33,57.16,F
21,Business,6.3,84.16,52.73,90.62,63.29,68.27,64.4,77.74,74.83,B
24,CS,5.0,62.62,54.53,68.25,80.6,47.61,26.5,70.39,62.8,F
23,Mathematics,2.6,67.53,62.39,46.31,61.02,58.3,0.0,82.89,53.86,F
21,CS,5.5,67.46,66.1,71.82,66.37,50.22,61.6,84.97,69.66,C
19,Business,4.8,75.68,59.45,69.66,89.08,54.4,39.3,68.87,67.53,D
20,Business,2.5,75.18,66.01,59.37,72.93,56.88,77.7,62.35,65.74,D
23,CS,4.1,65.95,76.94,59.42,74.59,81.59,59.1,62.41,70.84,C
23,Business,3.3,77.56,62.58,57.04,77.35,86.43,47.3,84.12,68.99,C
24,Mathematics,3.7,95.56,83.11,64.29,64.25,77.24,73.2,94.52,75.75,B
21,Business,3.5,83.32,62.28,66.54,95.15,57.72,60.1,69.82,70.09,C
22,Engineering,5.4,59.46,55.05,64.25,69.66,79.78,71.1,98.61,72.37,C
19,Engineering,6.0,61.64,29.96,35.33,79.36,48.81,63.0,71.19,52.24,F
24,Engineering,6.2,59.75,47.86,54.9,66.46,56.0,61.8,94.48,63.14,F
19,Business,6.4,91.56,59.31,44.95,47.22,95.92,51.7,77.56,62.94,F
18,CS,4.4,64.86,78.75,69.27,48.26,70.61,45.8,47.38,65.88,D
23,CS,5.0,73.27,45.42,57.15,72.61,71.54,73.4,79.41,65.63,D
19,CS,4.6,72.0,54.35,45.79,100.0,80.11,92.0,67.84,69.91,C
22,CS,6.3,85.69,78.33,81.65,77.88,84.59,60.3,74.99,81.21,A
21,Business,6.7,73.14,50.45,79.52,56.22,59.97,60.6,62.03,66.99,D
23,Mathematics,0.7,93.44,57.64,80.36,65.8,64.03,91.6,100.0,74.62,B
19,Mathematics,9.3,76.81,78.14,46.89,73.24,92.44,47.4,72.13,71.15,C
18,CS,6.7,84.98,40.7,63.4,65.17,98.96,70.0,100.0,72.13,C
19,Engineering,4.3,68.34,74.81,82.48,67.65,79.0,58.6,89.23,78.64,A
23,Business,3.9,68.99,61.23,48.13,81.08,49.27,53.6,66.5,60.2,F
20,CS,6.4,93.42,69.07,60.44,100.0,59.34,87.6,84.94,76.3,B
19,Mathematics,5.5,81.31,93.07,68.72,73.44,67.89,60.9,93.01,78.57,A
23,Engineering,3.4,87.06,100.0,46.15,49.46,67.63,68.1,100.0,69.92,C
18,Engineering,7.1,94.15,32.66,48.77,84.14,73.69,55.1,82.89,62.19,F
19,Mathematics,4.3,76.26,89.84,54.42,78.11,69.16,49.5,78.59,71.34,C
24,Engineering,5.1,79.17,72.6,51.03,60.09,56.79,77.4,87.15,66.37,D
19,Business,4.8,77.09,60.71,74.1,75.92,74.08,65.2,83.03,74.1,B
21,Engineering,3.4,69.01,59.01,60.75,50.98,80.65,70.0,62.12,64.68,D
18,CS,5.9,55.63,55.25,65.58,77.02,76.15,70.8,86.66,72.4,C
22,Mathematics,5.5,84.72,69.48,52.59,94.33,69.51,49.4,87.51,70.69,C
22,Engineering,4.5,59.02,70.46,74.97,62.01,80.7,96.1,74.7,77.32,A
24,CS,3.5,82.29,71.56,54.39,62.63,91.01,77.7,100.0,73.19,B
20,CS,4.7,81.99,46.61,69.04,55.1,94.25,100.0,86.8,73.47,B
19,Business,6.6,64.31,86.1,61.02,81.62,76.4,57.6,74.48,75.74,B
23,Engineering,4.2,75.97,53.74,74.88,66.49,76.49,81.9,87.68,73.72,B
23,CS,8.2,79.57,68.26,58.29,81.53,76.74,45.7,57.88,69.34,C
19,CS,5.7,87.03,59.18,87.48,80.66,68.53,81.2,81.77,79.61,A
19,Engineering,1.6,67.19,57.34,84.99,57.32,40.83,85.9,87.33,69.81,C
22,Engineering,1.1,83.76,80.8,47.37,60.88,75.4,37.2,48.02,59.88,F
22,Engineering,1.6,84.24,80.47,79.84,89.83,40.59,80.0,61.54,74.56,B
18,Business,4.4,99.2,89.71,36.53,89.55,71.73,94.6,84.74,73.23,B
